Monthly searches,When I search for...,Then I...,see...,in the top ... results
200,book practical test,should,https://www.gov.uk/book-practical-driving-test,3
200,book practical test,should,https://www.gov.uk/book-practical-driving-test,3
200,br19,should,https://www.gov.uk/state-pension,10
200,child benefits,should,https://www.gov.uk/benefits-adviser,10
200,child benefits,should,https://www.gov.uk/child-benefit,3
200,cleaning jobs,should,https://www.gov.uk/jobsearch,3
200,commodity codes,should,https://www.gov.uk/finding-commodity-codes,3
200,commodity codes,should,https://www.gov.uk/trade-tariff,3
200,council tax band,should,https://www.gov.uk/council-tax,3
200,council tax band,should,https://www.gov.uk/council-tax-bands,3
200,driving jobs,should,https://www.gov.uk/jobsearch,3
200,ema,should,https://www.gov.uk/education-maintenance-allowance-ema,3
200,holiday calculator,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
200,housing benifit,should,https://www.gov.uk/housing-benefit,3
200,immigration,should,https://www.gov.uk/becoming-a-british-citizen,5
200,immigration,should,https://www.gov.uk/legal-advice-immigration-asylum,5
200,job center,should,https://www.gov.uk/jobsearch,3
200,licence,should,https://www.gov.uk/licence-finder,3
200,passport application form,should,https://www.gov.uk/apply-renew-passport,3
200,passport fee,should,https://www.gov.uk/passport-fees,3
200,passport form,should,https://www.gov.uk/apply-renew-passport,3
200,pff2,should,https://www.gov.uk/student-finance-evidence-from-parents-partners,3
200,pff2,should,https://www.gov.uk/student-finance-register-login,3
200,police,should,https://www.gov.uk/contact-police,3
200,police,should,https://www.gov.uk/report-crime-anti-social-behaviour,5
200,provisional driving licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
200,provisional license,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
200,school closures,should,https://www.gov.uk/check-school-closure,1
200,sick,should,https://www.gov.uk/sick-leave-pay-employees,5
200,sick,should,https://www.gov.uk/statutory-sick-pay,3
200,sick leave,should,https://www.gov.uk/sick-leave-pay-employees,5
200,sick leave,should,https://www.gov.uk/statutory-sick-pay,3
200,sole trader,should,https://www.gov.uk/set-up-sole-trader,3
200,working abroad,should,https://www.gov.uk/working-abroad,3
200,working time regulations,should,https://www.gov.uk/maximum-weekly-working-hours,3
100,benefit,should not,https://www.gov.uk/incapacity-benefit,10
100,bereavement allowance,should,https://www.gov.uk/benefits-adviser,10
100,book test,should,https://www.gov.uk/book-a-driving-theory-test,3
100,book test,should,https://www.gov.uk/book-life-in-uk-test,5
100,book test,should,https://www.gov.uk/book-practical-driving-test,3
100,book theory,should,https://www.gov.uk/book-a-driving-theory-test,3
100,booking driving test,should,https://www.gov.uk/book-practical-driving-test,3
100,booking theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
100,carer's allowance,should,https://www.gov.uk/benefits-adviser,10
100,carer's allowance,should,https://www.gov.uk/carers-allowance,3
100,carers credit,should,https://www.gov.uk/benefits-adviser,10
100,citizenship,should,https://www.gov.uk/becoming-a-british-citizen,3
100,equality,should not,https://www.gov.uk/drink-drive-limit,10
100,equality,should not,https://www.gov.uk/inherits-someone-dies-without-will,10
100,old age pension,should,https://www.gov.uk/state-pension,3
100,part time jobs,should,https://www.gov.uk/jobsearch,3
100,passport forms,should,https://www.gov.uk/apply-renew-passport,3
100,personal allowance,should,https://www.gov.uk/income-tax-rates,3
100,recycling,should,https://www.gov.uk/recycling-collections,3
100,redundancy payments,should,https://www.gov.uk/redundant-your-rights,5
100,reversing,should,https://www.gov.uk/using-the-road-159-to-203,3
100,statutory paternity pay,should,https://www.gov.uk/benefits-adviser,10
100,student finance forms,should,https://www.gov.uk/apply-for-student-finance,3
100,tariff codes,should,https://www.gov.uk/finding-commodity-codes,3
100,tariff codes,should,https://www.gov.uk/trade-tariff,3
100,vehicle tax,should,https://www.gov.uk/tax-disc,2
100,voluntary redundancy,should,https://www.gov.uk/redundant-your-rights,5
100,widows benefit,should,https://www.gov.uk/benefits-adviser,10
100,will,should,https://www.gov.uk/find-persons-will,5
100,will,should,https://www.gov.uk/inherits-someone-dies-without-will,5
100,will,should,https://www.gov.uk/make-will,5
100,will,should,https://www.gov.uk/wills-probate-inheritance,5
100,working from home,should,https://www.gov.uk/flexible-working,3
100,working from home,should,https://www.gov.uk/introduction-to-business-rates,5
100,working from home,should,https://www.gov.uk/travel-disruption-your-rights-at-work,5
50,pn1,should,https://www.gov.uk/apply-for-student-finance,3
50,pn1,should,https://www.gov.uk/student-finance-register-login,3
50,pr1,should,https://www.gov.uk/apply-for-student-finance,3
50,pr1,should,https://www.gov.uk/student-finance-register-login,3
10,starting a company,should,https://www.gov.uk/limited-company-formation,5
5,fits,should,https://www.gov.uk/feed-in-tariffs,3
1,adoption pay,should,https://www.gov.uk/benefits-adviser,10
1,apply for provisional licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
1,applying for a passport,should,https://www.gov.uk/apply-renew-passport,3
1,background music licence,should,https://www.gov.uk/licence-finder,3
1,basic state pension,should,https://www.gov.uk/state-pension,3
1,bereavement payment,should,https://www.gov.uk/benefits-adviser,10
1,birth,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,5
1,birth registration,should not,https://www.gov.uk/buy-a-personalised-registration-number,10
1,birth registration,should not,https://www.gov.uk/vehicle-registration,10
1,book a driving test,should,https://www.gov.uk/book-practical-driving-test,3
1,book driving practical test,should,https://www.gov.uk/book-practical-driving-test,3
1,book driving theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
1,book my driving test,should,https://www.gov.uk/book-practical-driving-test,3
1,book your driving test,should,https://www.gov.uk/book-practical-driving-test,3
1,booking practical test,should,https://www.gov.uk/book-practical-driving-test,3
1,carer's credit,should,https://www.gov.uk/benefits-adviser,10
1,child benefit form,should,https://www.gov.uk/child-benefit,3
1,clock change,should,https://www.gov.uk/when-do-the-clocks-change,1
1,companies house,should not,https://www.gov.uk/housing-benefit,10
1,company name,should,https://www.gov.uk/get-information-about-a-company,5
1,company name,should,https://www.gov.uk/limited-company-formation,5
1,company names,should,https://www.gov.uk/get-information-about-a-company,5
1,company names,should,https://www.gov.uk/limited-company-formation,5
1,constant attendance allowance,should,https://www.gov.uk/benefits-adviser,10
1,contact child support agency,should,https://www.gov.uk/child-maintenance,3
1,contact csa,should,https://www.gov.uk/child-maintenance,3
1,contact student finance,should,https://www.gov.uk/contact-student-finance-england,3
1,contact student finance england,should,https://www.gov.uk/contact-student-finance-england,3
1,council tax band a,should,https://www.gov.uk/council-tax-bands,3
1,council tax band c,should,https://www.gov.uk/council-tax-bands,3
1,council tax banding,should,https://www.gov.uk/council-tax-bands,3
1,council tax rates,should,https://www.gov.uk/council-tax,3
1,criminal records,should not,https://www.gov.uk/adoption-records,10
1,criminal records,should not,https://www.gov.uk/claim-compensation-criminal-injury,10
1,criminal records,should not,https://www.gov.uk/courts,10
1,csa contact number,should,https://www.gov.uk/child-maintenance,3
1,customs tariff,should,https://www.gov.uk/finding-commodity-codes,3
1,customs tariff,should,https://www.gov.uk/trade-tariff,3
1,declare sorn,should,https://www.gov.uk/register-sorn-statutory-off-road-notification,3
1,design principles,should,https://www.gov.uk/designprinciples,3
1,employing people,should not,https://www.gov.uk/alcohol-young-people-law,10
1,employing people,should not,https://www.gov.uk/young-people-in-custody,10
1,employment contract,should,https://www.gov.uk/employment-contracts-and-conditions,5
1,guardian's allowance,should,https://www.gov.uk/benefits-adviser,10
1,holiday pay calculator,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
1,holiday pay calculator,should,https://www.gov.uk/holiday-entitlement-rights,3
1,how much is a passport,should,https://www.gov.uk/passport-fees,3
1,how much is council tax,should,https://www.gov.uk/council-tax,3
1,how much is state pension,should,https://www.gov.uk/state-pension,3
1,how much is statutory sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
1,how much is statutory sick pay,should,https://www.gov.uk/statutory-sick-pay,3
1,how to register,should,https://www.gov.uk/register-birth,50
1,how to register,should not,https://www.gov.uk/register-stillbirth,5
1,industrial injuries disablement benefit,should,https://www.gov.uk/benefits-adviser,10
1,jobseeker's allowance,should,https://www.gov.uk/benefits-adviser,5
1,jobseeker's allowance,should,https://www.gov.uk/benefits-adviser,10
1,jobseeker's allowance,should,https://www.gov.uk/jobsearch,5
1,jobseeker's allowance,should,https://www.gov.uk/jobseekers-allowance,3
1,learning difficulties,should,https://www.gov.uk/children-with-special-educational-needs,5
1,learning difficulties,should not,https://www.gov.uk/learning-to-drive-a-tractor-or-specialist-vehicle,5
1,license,should,https://www.gov.uk/licence-finder,3
1,make a sorn,should,https://www.gov.uk/register-sorn-statutory-off-road-notification,3
1,mot checker,should,https://www.gov.uk/check-mot-status-vehicle,3
1,mot test,should,https://www.gov.uk/getting-an-mot,3
1,music licence,should,https://www.gov.uk/licence-finder,3
1,new business,should,https://www.gov.uk/starting-up-a-business,5
1,new passport,should,https://www.gov.uk/apply-renew-passport,3
1,out of date driving licence,should,https://www.gov.uk/change-photo-driving-licence,5
1,out of date driving licence,should,https://www.gov.uk/renew-your-driving-licence-if-you-are-70-or-over,5
1,part time student finance,should,https://www.gov.uk/apply-for-student-finance,3
1,passport costs,should,https://www.gov.uk/passport-fees,3
1,passport prices,should,https://www.gov.uk/passport-fees,3
1,pay council tax,should,https://www.gov.uk/pay-council-tax,3
1,pension credit calculator,should,https://www.gov.uk/pension-credit-calculator,3
1,pension rates,should,https://www.gov.uk/state-pension,3
1,pot hole,should,https://www.gov.uk/report-pothole,3
1,pothole,should,https://www.gov.uk/report-pothole,3
1,probate forms,should,https://www.gov.uk/wills-probate-inheritance,3
1,probate forms,should not,https://www.gov.uk/apply-for-tax-disc-refund-form-v14,5
1,probate forms,should not,https://www.gov.uk/register-sorn-statutory-off-road-notification,5
1,probate forms,should not,https://www.gov.uk/register-to-vote,5
1,provisional drivers licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
1,provisional drivers license,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
1,provisional driving license,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
1,redundancy notice,should,https://www.gov.uk/redundant-your-rights,5
1,redundancy payment,should,https://www.gov.uk/redundant-your-rights,5
1,redundancy rights,should,https://www.gov.uk/redundant-your-rights,3
1,second adult rebate,should,https://www.gov.uk/benefits-adviser,10
1,sick pay entitlement,should,https://www.gov.uk/sick-leave-pay-employees,5
1,sick pay entitlement,should,https://www.gov.uk/statutory-sick-pay,3
1,start a business,should,https://www.gov.uk/starting-up-a-business,5
1,statutory adoption pay,should,https://www.gov.uk/benefits-adviser,10
1,statutory redundancy pay,should,https://www.gov.uk/calculate-employee-redundancy-pay,5
1,statutory redundancy pay,should,https://www.gov.uk/calculate-your-redundancy-pay,3
1,street light,should,https://www.gov.uk/report-problem-street-light,3
1,streetlight,should,https://www.gov.uk/report-problem-street-light,3
1,student finance address,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance contact details,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance contact number,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance england,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance england address,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance england contact number,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance england number,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance england phone number,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance helpline,should,https://www.gov.uk/contact-student-finance-england,3
1,student finance login,should,https://www.gov.uk/student-finance-register-login,3
1,student finance telephone number,should,https://www.gov.uk/contact-student-finance-england,3
1,student grants,should,https://www.gov.uk/apply-for-student-finance,3
1,student grants,should,https://www.gov.uk/extra-money-pay-university,5
1,student loans company,should,https://www.gov.uk/apply-for-student-finance,3
1,tariff classification,should,https://www.gov.uk/finding-commodity-codes,3
1,tariff classification,should,https://www.gov.uk/trade-tariff,3
1,temporary event notice,should,https://www.gov.uk/temporary-events-notice,3
1,trade mark,should,https://www.gov.uk/intellectual-property-an-overview,5
1,trade mark,should,https://www.gov.uk/register-a-trademark,5
1,trade mark,should,https://www.gov.uk/search-for-trademark,5
1,trade tariff,should,https://www.gov.uk/finding-commodity-codes,3
1,trade tariff,should,https://www.gov.uk/trade-tariff,3
1,trademark,should,https://www.gov.uk/intellectual-property-an-overview,5
1,trademark,should,https://www.gov.uk/register-a-trademark,5
1,trademark,should,https://www.gov.uk/search-for-trademark,5
1,transaction,should not,https://www.gov.uk/driving-transaction-finished,50
1,transaction,should not,https://www.gov.uk/transaction-finished,50
1,war widow's pension,should,https://www.gov.uk/benefits-adviser,10
1,war widower's pension,should,https://www.gov.uk/benefits-adviser,10
1,what council tax band am i,should,https://www.gov.uk/council-tax-bands,3
1,what is the statutory level of sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
1,what is the statutory level of sick pay,should,https://www.gov.uk/statutory-sick-pay,3
1,when does child benefit stop,should,https://www.gov.uk/when-child-benefit-stops,3
1,when is my mot due,should,https://www.gov.uk/check-mot-status-vehicle,3
1,when is my mot due,should,https://www.gov.uk/getting-an-mot,3
1,widow pension,should,https://www.gov.uk/benefits-adviser,10
1,widowed parents allowance,should,https://www.gov.uk/benefits-adviser,10
1,work related activity group,should,https://www.gov.uk/employment-support-allowance,3
1,working overseas,should,https://www.gov.uk/working-abroad,3
1,employing people from abroad,should,https://www.gov.uk/legal-right-to-work-in-the-uk,3
